[290, '193', 'Roi[Traced,', 'x=461,', 'y=178,', 'width=19,', 'height=17]']
[291, '90', 'Roi[Traced,', 'x=155,', 'y=179,', 'width=11,', 'height=11]']
[292, '24', 'Roi[Traced,', 'x=216,', 'y=179,', 'width=6,', 'height=6]']
[293, '53', 'Roi[Traced,', 'x=239,', 'y=179,', 'width=10,', 'height=9]']
[294, '77', 'Roi[Traced,', 'x=167,', 'y=180,', 'width=10,', 'height=12]']
[295, '26', 'Roi[Traced,', 'x=287,', 'y=181,', 'width=6,', 'height=6]']
[296, '176', 'Roi[Traced,', 'x=248,', 'y=182,', 'width=16,', 'height=18]']
[297, '66', 'Roi[Traced,', 'x=381,', 'y=182,', 'width=12,', 'height=8]']
[298, '105', 'Roi[Traced,', 'x=394,', 'y=182,', 'width=16,', 'height=9]']
[299, '44', 'Roi[Traced,', 'x=227,', 'y=183,', 'width=8,', 'height=9]']
[300, '199', 'Roi[Traced,', 'x=1,', 'y=185,', 'width=21,', 'height=17]']
[301, '191', 'Roi[Traced,', 'x=52,', 'y=185,', 'width=19,', 'height=24]']
[302, '82', 'Roi[Traced,', 'x=31,', 'y=186,', 'width=14,', 'height=9]']
[303, '19', 'Roi[Traced,', 'x=104,', 'y=186,', 'width=5,', 'height=5]']
