[228, '=84', 'Roi[Traced,', 'x=159,', 'y=93,', 'width=10,', 'height=11]']
[229, '=63', 'Roi[Traced,', 'x=317,', 'y=93,', 'width=9,', 'height=10]']
[230, '=24', 'Roi[Traced,', 'x=454,', 'y=93,', 'width=6,', 'height=5]']
[231, '=88', 'Roi[Traced,', 'x=632,', 'y=93,', 'width=11,', 'height=12]']
[232, '=7', 'Roi[Traced,', 'x=54,', 'y=94,', 'width=4,', 'height=3]']
[233, '=332', 'Roi[Traced,', 'x=32,', 'y=95,', 'width=18,', 'height=27]']
[234, '=170', 'Roi[Traced,', 'x=175,', 'y=96,', 'width=19,', 'height=17]']
[235, '=57', 'Roi[Traced,', 'x=306,', 'y=96,', 'width=8,', 'height=10]']
[236, '=146', 'Roi[Traced,', 'x=362,', 'y=97,', 'width=20,', 'height=15]']
[237, '=28', 'Roi[Traced,', 'x=546,', 'y=97,', 'width=5,', 'height=7]']
[238, '=247', 'Roi[Traced,', 'x=69,', 'y=98,', 'width=21,', 'height=24]']
[239, '=57', 'Roi[Traced,', 'x=113,', 'y=99,', 'width=7,', 'height=12]']
[240, '=57', 'Roi[Traced,', 'x=238,', 'y=99,', 'width=8,', 'height=9]']
[241, '=185', 'Roi[Traced,', 'x=328,', 'y=99,', 'width=20,', 'height=13]']
[242, '=57', 'Roi[Traced,', 'x=390,', 'y=99,', 'width=9,', 'height=12]']
[243, '=28', 'Roi[Traced,', 'x=0,', 'y=100,', 'width=9,', 'height=6]']
[244, '=93', 'Roi[Traced,', 'x=572,', 'y=100,', 'width=10,', 'height=13]']
[245, '=139', 'Roi[Traced,', 'x=149,', 'y=101,', 'width=15,', 'height=15]']
[246, '=122', 'Roi[Traced,', 'x=262,', 'y=101,', 'width=11,', 'height=15]']
[247, '=162', 'Roi[Traced,', 'x=19,', 'y=102,', 'width=14,', 'height=17]']
[248, '=32', 'Roi[Traced,', 'x=52,', 'y=102,', 'width=8,', 'height=7]']
[249, '=98', 'Roi[Traced,', 'x=531,', 'y=102,', 'width=13,', 'height=11]']
[250, '=61', 'Roi[Traced,', 'x=121,', 'y=103,', 'width=9,', 'height=8]']
[251, '=6', 'Roi[Traced,', 'x=257,', 'y=103,', 'width=4,', 'height=2]']
[252, '=173', 'Roi[Traced,', 'x=92,', 'y=104,', 'width=20,', 'height=12]']
[253, '=105', 'Roi[Traced,', 'x=554,', 'y=104,', 'width=12,', 'height=11]']
[254, '=18', 'Roi[Traced,', 'x=622,', 'y=104,', 'width=6,', 'height=5]']
[255, '=64', 'Roi[Traced,', 'x=204,', 'y=105,', 'width=11,', 'height=11]']
[256, '=74', 'Roi[Traced,', 'x=220,', 'y=105,', 'width=14,', 'height=10]']
[257, '=74', 'Roi[Traced,', 'x=274,', 'y=106,', 'width=7,', 'height=12]']
[258, '=94', 'Roi[Traced,', 'x=594,', 'y=106,', 'width=12,', 'height=12]']
[259, '=25', 'Roi[Traced,', 'x=479,', 'y=107,', 'width=6,', 'height=6]']
[260, '=84', 'Roi[Traced,', 'x=48,', 'y=108,', 'width=11,', 'height=11]']
[261, '=29', 'Roi[Traced,', 'x=301,', 'y=108,', 'width=7,', 'height=6]']
[262, '=76', 'Roi[Traced,', 'x=488,', 'y=108,', 'width=8,', 'height=12]']
[263, '=143', 'Roi[Traced,', 'x=135,', 'y=109,', 'width=18,', 'height=13]']
[264, '=27', 'Roi[Traced,', 'x=289,', 'y=109,', 'width=8,', 'height=5]']
[265, '=281', 'Roi[Traced,', 'x=621,', 'y=110,', 'width=21,', 'height=21]']
[266, '=143', 'Roi[Traced,', 'x=156,', 'y=112,', 'width=16,', 'height=15]']
[267, '=63', 'Roi[Traced,', 'x=306,', 'y=112,', 'width=7,', 'height=12]']
[268, '=237', 'Roi[Traced,', 'x=525,', 'y=112,', 'width=25,', 'height=18]']
[269, '=69', 'Roi[Traced,', 'x=379,', 'y=113,', 'width=9,', 'height=11]']
[270, '=117', 'Roi[Traced,', 'x=391,', 'y=113,', 'width=14,', 'height=16]']
[271, '=61', 'Roi[Traced,', 'x=439,', 'y=113,', 'width=8,', 'height=10]']
[272, '=95', 'Roi[Traced,', 'x=457,', 'y=113,', 'width=12,', 'height=11]']
[273, '=30', 'Roi[Traced,', 'x=107,', 'y=115,', 'width=6,', 'height=6]']
[274, '=197', 'Roi[Traced,', 'x=226,', 'y=115,', 'width=18,', 'height=20]']
[275, '=63', 'Roi[Traced,', 'x=366,', 'y=115,', 'width=9,', 'height=10]']
[276, '=62', 'Roi[Traced,', 'x=471,', 'y=115,', 'width=9,', 'height=10]']
[277, '=83', 'Roi[Traced,', 'x=603,', 'y=116,', 'width=10,', 'height=11]']
[278, '=42', 'Roi[Traced,', 'x=317,', 'y=117,', 'width=8,', 'height=8]']
[279, '=184', 'Roi[Traced,', 'x=502,', 'y=117,', 'width=16,', 'height=17]']
[280, '=145', 'Roi[Traced,', 'x=586,', 'y=117,', 'width=15,', 'height=19]']
[281, '=161', 'Roi[Traced,', 'x=112,', 'y=118,', 'width=13,', 'height=19]']
[282, '=58', 'Roi[Traced,', 'x=195,', 'y=118,', 'width=9,', 'height=9]']
[283, '=78', 'Roi[Traced,', 'x=323,', 'y=118,', 'width=10,', 'height=15]']
[284, '=116', 'Roi[Traced,', 'x=182,', 'y=119,', 'width=17,', 'height=12]']
[285, '=95', 'Roi[Traced,', 'x=266,', 'y=119,', 'width=14,', 'height=11]']
[286, '=103', 'Roi[Traced,', 'x=146,', 'y=121,', 'width=11,', 'height=13]']
[287, '=77', 'Roi[Traced,', 'x=291,', 'y=121,', 'width=9,', 'height=12]']
[288, '=97', 'Roi[Traced,', 'x=3,', 'y=122,', 'width=12,', 'height=11]']
[289, '=223', 'Roi[Traced,', 'x=83,', 'y=122,', 'width=18,', 'height=19]']
[290, '=43', 'Roi[Traced,', 'x=564,', 'y=122,', 'width=11,', 'height=7]']
[291, '=49', 'Roi[Traced,', 'x=59,', 'y=123,', 'width=11,', 'height=8]']
[292, '=295', 'Roi[Traced,', 'x=403,', 'y=123,', 'width=21,', 'height=22]']
[293, '=51', 'Roi[Traced,', 'x=487,', 'y=123,', 'width=8,', 'height=8]']
[294, '=110', 'Roi[Traced,', 'x=518,', 'y=123,', 'width=10,', 'height=17]']
[295, '=70', 'Roi[Traced,', 'x=349,', 'y=124,', 'width=10,', 'height=10]']
[296, '=77', 'Roi[Traced,', 'x=243,', 'y=125,', 'width=12,', 'height=9]']
