[241, '=104', 'Roi[Traced,', 'x=424,', 'y=467,', 'width=18,', 'height=14]']
[242, '=14', 'Roi[Traced,', 'x=597,', 'y=469,', 'width=3,', 'height=7]']
[243, '=399', 'Roi[Traced,', 'x=324,', 'y=470,', 'width=25,', 'height=25]']
[244, '=571', 'Roi[Traced,', 'x=390,', 'y=470,', 'width=28,', 'height=29]']
[245, '=213', 'Roi[Traced,', 'x=79,', 'y=472,', 'width=18,', 'height=22]']
[246, '=167', 'Roi[Traced,', 'x=93,', 'y=476,', 'width=15,', 'height=19]']
[247, '=402', 'Roi[Traced,', 'x=268,', 'y=479,', 'width=25,', 'height=26]']
[248, '=562', 'Roi[Traced,', 'x=451,', 'y=481,', 'width=31,', 'height=24]']
[249, '=22', 'Roi[Traced,', 'x=11,', 'y=483,', 'width=5,', 'height=6]']
[250, '=227', 'Roi[Traced,', 'x=311,', 'y=485,', 'width=26,', 'height=18]']
[251, '=275', 'Roi[Traced,', 'x=44,', 'y=490,', 'width=25,', 'height=15]']
[252, '=53', 'Roi[Traced,', 'x=0,', 'y=491,', 'width=6,', 'height=14]']
[253, '=92', 'Roi[Traced,', 'x=212,', 'y=495,', 'width=14,', 'height=10]']
[254, '=80', 'Roi[Traced,', 'x=309,', 'y=495,', 'width=12,', 'height=10]']
[255, '=99', 'Roi[Traced,', 'x=198,', 'y=496,', 'width=14,', 'height=9]']
[256, '=64', 'Roi[Traced,', 'x=427,', 'y=499,', 'width=18,', 'height=6]']
[257, '=62', 'Roi[Traced,', 'x=160,', 'y=500,', 'width=18,', 'height=5]']
[258, '=79', 'Roi[Traced,', 'x=78,', 'y=501,', 'width=25,', 'height=4]']
[259, '=21', 'Roi[Traced,', 'x=12,', 'y=503,', 'width=13,', 'height=2]']
approximate number of cells ~243
